id,cost,link,name,name_long,qty,store,shipping
541552,99.0,https://store.topdecksa.co.za/products/anger?_pos=2&_psq=Anger&_ss=e&_v=1.0,Anger,Anger - Commander Anthology,1,TopDeck,90
171741,105.0,https://d20battleground.co.za/products/anger-ultimate-masters,Anger,Anger [Ultimate Masters] - Near Mint,2,D20Battleground,90
558554,110.0,https://www.sadrobot.co.za/shop/anger/,Anger,Anger - Ultimate Masters,1,SadRobot,90
360306,185.0,https://d20battleground.co.za/products/anger-ultimate-masters,Anger,Anger [Ultimate Masters] - Near Mint Foil,1,D20Battleground,90
458477,4.0,https://tcgtrader.net/products/anje-maid-of-dishonor-innistrad-crimson-vow,"Anje, Maid of Dishonor","Anje, Maid of Dishonor [Innistrad: Crimson Vow] - Near Mint",2,TCG Trader,90
545412,13.0,https://greedygold.co.za/products/anje-maid-of-dishonor-showcase-fang-frame-innistrad-crimson-vow,"Anje, Maid of Dishonor","Anje, Maid of Dishonor (Showcase Fang Frame) [Innistrad: Crimson Vow] - Near Mint",1,Greedy Gold,90
545413,13.0,https://greedygold.co.za/products/anje-maid-of-dishonor-innistrad-crimson-vow,"Anje, Maid of Dishonor","Anje, Maid of Dishonor [Innistrad: Crimson Vow] - Near Mint Foil",1,Greedy Gold,90
302137,43.0,https://www.thewarren.co.za/shop/card/archfiend-of-ifnir,Archfiend of Ifnir,Archfiend of Ifnir - Amonkhet,1,The Warren,90
508387,51.0,https://www.thewarren.co.za/shop/card/archfiend-of-ifnir,Archfiend of Ifnir,Archfiend of Ifnir - Amonkhet (Foil),1,The Warren,90
508386,52.0,https://luckshack.co.za/index.php?route=product/product&product_id=49320,Archfiend of Ifnir,Archfiend of Ifnir,2,Luckshack,90
508385,65.0,https://store.topdecksa.co.za/products/archfiend-of-ifnir?_pos=1&_psq=Archfiend%20of%20Ifnir&_ss=e&_v=1.0&variant=36850272515,Archfiend of Ifnir,Archfiend of Ifnir - Amonkhet (Foil),3,TopDeck,90
157380,17.0,https://shop.dracoti.co.za/product/barbarian-ring-foil/,Barbarian Ring,Barbarian Ring (FOIL),1,Dracoti,90
344323,17.0,https://luckshack.co.za/index.php?route=product/product&product_id=91457,Barbarian Ring,Barbarian Ring,3,Luckshack,90
157379,20.0,https://shop.dracoti.co.za/product/barbarian-ring/,Barbarian Ring,Barbarian Ring,3,Dracoti,90
496238,20.0,https://www.thewarren.co.za/shop/card/barbarian-ring,Barbarian Ring,Barbarian Ring - The List,1,The Warren,90
42766,23.4,https://www.battlewizards.co.za/barbarian-ring-odyssey/,Barbarian Ring,Barbarian Ring - Odyssey,2,Battle Wizards,90
82958,560.0,https://store.topdecksa.co.za/products/barbarian-ring?_pos=1&_psq=Barbarian%20Ring&_ss=e&_v=1.0,Barbarian Ring,Barbarian Ring - Odyssey (Foil),1,TopDeck,90
546300,26.0,https://greedygold.co.za/products/bojuka-bog-worldwake,Bojuka Bog,Bojuka Bog [Worldwake] - Lightly Played,1,Greedy Gold,90
535928,30.0,https://www.sadrobot.co.za/shop/bojuka-bog/,Bojuka Bog,Bojuka Bog - Worldwake,1,SadRobot,90
540545,31.0,https://store.topdecksa.co.za/products/bojuka-bog?_pos=1&_psq=Bojuka%20Bog&_ss=e&_v=1.0,Bojuka Bog,Bojuka Bog - Midnight Hunt Commander {C} #167,1,TopDeck,90
520833,31.0,https://luckshack.co.za/index.php?route=product/product&product_id=67269,Bojuka Bog,Bojuka Bog,1,Luckshack,90
546299,32.0,https://greedygold.co.za/products/bojuka-bog-commander-2013,Bojuka Bog,Bojuka Bog [Commander 2013] - Lightly Played,1,Greedy Gold,90
546301,33.0,https://greedygold.co.za/products/bojuka-bog-commander-2017,Bojuka Bog,Bojuka Bog [Commander 2017] - Near Mint,1,Greedy Gold,90
546298,34.0,https://greedygold.co.za/products/bojuka-bog-commander-2013,Bojuka Bog,Bojuka Bog [Commander 2013] - Near Mint,1,Greedy Gold,90
535926,35.0,https://www.sadrobot.co.za/shop/bojuka-bog-12/,Bojuka Bog,Bojuka Bog - Commander 2013,1,SadRobot,90
408460,750.0,https://www.sadrobot.co.za/shop/bojuka-bog-foil/,Bojuka Bog,Bojuka Bog (Foil) - Worldwake,2,SadRobot,90
135875,1575.0,https://shop.dracoti.co.za/product/bojuka-bog-foil/,Bojuka Bog,Bojuka Bog (FOIL),2,Dracoti,90
501171,78.0,https://d20battleground.co.za/products/breath-of-fury-commander-2016,Breath of Fury,Breath of Fury [Commander 2016] - Near Mint,1,D20Battleground,90
501172,85.0,https://d20battleground.co.za/products/breath-of-fury-ravnica-city-of-guilds,Breath of Fury,Breath of Fury [Ravnica: City of Guilds] - Near Mint,1,D20Battleground,90
217334,96.0,https://www.thewarren.co.za/shop/card/breath-of-fury,Breath of Fury,Breath of Fury - Ravnica: City of Guilds,2,The Warren,90
